"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","GO:0003735","structural constituent of ribosome",50,0.66080298013245,2.21379713684616,4.39040045534811e-06,0.00373627764213064,0.00342544979074796,1689,"tags=100%, list=35%, signal=66%","APILKD_19575/APILKD_04025/APILKD_03085/APILKD_23670/APILKD_03090/APILKD_03345/APILKD_17055/APILKD_17060/APILKD_05485/APILKD_03900/APILKD_00650/APILKD_03705/APILKD_24330/APILKD_03340/APILKD_03360/APILKD_24325/APILKD_03355/APILKD_10935/APILKD_24340/APILKD_03380/APILKD_21195/APILKD_03255/APILKD_03350/APILKD_24335/APILKD_03410/APILKD_03330/APILKD_07235/APILKD_03400/APILKD_03250/APILKD_05490/APILKD_03365/APILKD_03285/APILKD_03385/APILKD_03315/APILKD_05475/APILKD_03375/APILKD_04020/APILKD_03395/APILKD_03335/APILKD_03370/APILKD_03320/APILKD_03710/APILKD_03300/APILKD_21180/APILKD_03305/APILKD_03310/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_03290"
"GO:0070925","GO:0070925","organelle assembly",52,0.631717067982488,2.11311085232935,7.77581195032392e-06,0.00373627764213064,0.00342544979074796,1691,"tags=90%, list=35%, signal=60%","APILKD_05260/APILKD_05270/APILKD_23010/APILKD_05265/APILKD_04010/APILKD_19575/APILKD_03085/APILKD_23670/APILKD_09835/APILKD_13480/APILKD_03090/APILKD_03345/APILKD_17055/APILKD_03900/APILKD_03360/APILKD_03355/APILKD_10935/APILKD_24340/APILKD_03925/APILKD_03380/APILKD_21195/APILKD_03255/APILKD_03350/APILKD_24335/APILKD_21190/APILKD_03410/APILKD_03330/APILKD_07235/APILKD_03400/APILKD_03365/APILKD_03315/APILKD_03375/APILKD_03875/APILKD_04020/APILKD_21115/APILKD_03335/APILKD_03320/APILKD_00880/APILKD_03300/APILKD_21180/APILKD_03305/APILKD_03310/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_03290/APILKD_03995"
"GO:0042255","GO:0042255","ribosome assembly",47,0.623928944036836,2.08496678464943,4.64647068921005e-05,0.00794951294013448,0.00728817824732193,1691,"tags=89%, list=35%, signal=59%","APILKD_04010/APILKD_19575/APILKD_03085/APILKD_23670/APILKD_13480/APILKD_03090/APILKD_03345/APILKD_17055/APILKD_03900/APILKD_03360/APILKD_03355/APILKD_10935/APILKD_24340/APILKD_03925/APILKD_03380/APILKD_21195/APILKD_03255/APILKD_03350/APILKD_24335/APILKD_21190/APILKD_03410/APILKD_03330/APILKD_07235/APILKD_03400/APILKD_03365/APILKD_03315/APILKD_03375/APILKD_03875/APILKD_04020/APILKD_21115/APILKD_03335/APILKD_03320/APILKD_00880/APILKD_03300/APILKD_21180/APILKD_03305/APILKD_03310/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_03290/APILKD_03995"
"GO:0010039","GO:0010039","response to iron ion",17,-0.825629262002437,-2.07215661837521,3.63438815351321e-05,0.00794951294013448,0.00728817824732193,283,"tags=41%, list=6%, signal=39%","APILKD_21765/APILKD_21775/APILKD_20220/APILKD_21770/APILKD_21760/APILKD_02085/APILKD_21380"
"GO:0022626","GO:0022626","cytosolic ribosome",52,0.60034084654294,2.00815653434527,4.96327550892891e-05,0.00794951294013448,0.00728817824732193,1689,"tags=96%, list=35%, signal=64%","APILKD_19575/APILKD_04025/APILKD_03085/APILKD_23670/APILKD_03090/APILKD_03345/APILKD_17055/APILKD_17060/APILKD_05485/APILKD_03900/APILKD_00650/APILKD_03705/APILKD_24330/APILKD_03340/APILKD_03360/APILKD_24325/APILKD_03355/APILKD_10935/APILKD_24340/APILKD_03380/APILKD_21195/APILKD_03255/APILKD_03350/APILKD_24335/APILKD_03410/APILKD_03330/APILKD_07235/APILKD_03400/APILKD_03250/APILKD_05490/APILKD_03365/APILKD_03285/APILKD_03385/APILKD_03315/APILKD_05475/APILKD_03375/APILKD_04020/APILKD_03395/APILKD_03335/APILKD_03370/APILKD_03320/APILKD_03710/APILKD_03300/APILKD_21180/APILKD_03305/APILKD_03310/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_03290"
"GO:0044391","GO:0044391","ribosomal subunit",52,0.60034084654294,2.00815653434527,4.96327550892891e-05,0.00794951294013448,0.00728817824732193,1689,"tags=96%, list=35%, signal=64%","APILKD_19575/APILKD_04025/APILKD_03085/APILKD_23670/APILKD_03090/APILKD_03345/APILKD_17055/APILKD_17060/APILKD_05485/APILKD_03900/APILKD_00650/APILKD_03705/APILKD_24330/APILKD_03340/APILKD_03360/APILKD_24325/APILKD_03355/APILKD_10935/APILKD_24340/APILKD_03380/APILKD_21195/APILKD_03255/APILKD_03350/APILKD_24335/APILKD_03410/APILKD_03330/APILKD_07235/APILKD_03400/APILKD_03250/APILKD_05490/APILKD_03365/APILKD_03285/APILKD_03385/APILKD_03315/APILKD_05475/APILKD_03375/APILKD_04020/APILKD_03395/APILKD_03335/APILKD_03370/APILKD_03320/APILKD_03710/APILKD_03300/APILKD_21180/APILKD_03305/APILKD_03310/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_03290"
"GO:0005840","GO:0005840","ribosome",53,0.598612518964003,2.01740536122863,0.000128347221209698,0.01762023994036,0.0161543795718071,1689,"tags=94%, list=35%, signal=62%","APILKD_19575/APILKD_04025/APILKD_03085/APILKD_23670/APILKD_03090/APILKD_03345/APILKD_17055/APILKD_17060/APILKD_05485/APILKD_03900/APILKD_00650/APILKD_03705/APILKD_24330/APILKD_03340/APILKD_03360/APILKD_24325/APILKD_03355/APILKD_10935/APILKD_24340/APILKD_03380/APILKD_21195/APILKD_03255/APILKD_03350/APILKD_24335/APILKD_03410/APILKD_03330/APILKD_07235/APILKD_03400/APILKD_03250/APILKD_05490/APILKD_03365/APILKD_03285/APILKD_03385/APILKD_03315/APILKD_05475/APILKD_03375/APILKD_04020/APILKD_03395/APILKD_03335/APILKD_03370/APILKD_03320/APILKD_03710/APILKD_03300/APILKD_21180/APILKD_03305/APILKD_03310/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_03290"
"GO:0018958","GO:0018958","phenol-containing compound metabolic process",14,-0.827693583370212,-1.97828773815786,0.000170194042596185,0.0204445593668667,0.0187437386385535,767,"tags=79%, list=16%, signal=66%","APILKD_13555/APILKD_09160/APILKD_06665/APILKD_01500/APILKD_09170/APILKD_09180/APILKD_09210/APILKD_09225/APILKD_09215/APILKD_09230/APILKD_09220"
"GO:0015850","GO:0015850","organic hydroxy compound transport",13,-0.831290949423008,-1.96036035494453,0.000196858737622034,0.0210201385394194,0.019271434314578,823,"tags=92%, list=17%, signal=77%","APILKD_09205/APILKD_23530/APILKD_08445/APILKD_02615/APILKD_18695/APILKD_09200/APILKD_09165/APILKD_09190/APILKD_19735/APILKD_09185/APILKD_04425/APILKD_01735"
"GO:1901700","GO:1901700","response to oxygen-containing compound",56,-0.602030481994975,-1.90699487830875,0.000257352586191792,0.0247315835330312,0.0226741173307926,616,"tags=25%, list=13%, signal=22%","APILKD_08500/APILKD_06505/APILKD_18510/APILKD_06065/APILKD_08385/APILKD_03670/APILKD_05135/APILKD_21595/APILKD_11555/APILKD_11670/APILKD_23040/APILKD_06045/APILKD_07900/APILKD_11660"
"GO:0006412","GO:0006412","translation",96,0.485339779050023,1.87066391410221,0.000286987565134135,0.025072277281264,0.022986468135624,1689,"tags=66%, list=35%, signal=44%","APILKD_19575/APILKD_10820/APILKD_04025/APILKD_03085/APILKD_23670/APILKD_13480/APILKD_03090/APILKD_17065/APILKD_05275/APILKD_03345/APILKD_17055/APILKD_05485/APILKD_03900/APILKD_00650/APILKD_03705/APILKD_24330/APILKD_17070/APILKD_03340/APILKD_03360/APILKD_24325/APILKD_03355/APILKD_10935/APILKD_24340/APILKD_03925/APILKD_03380/APILKD_03425/APILKD_21195/APILKD_03255/APILKD_08505/APILKD_03350/APILKD_24335/APILKD_03410/APILKD_03330/APILKD_07235/APILKD_03400/APILKD_03250/APILKD_05490/APILKD_03365/APILKD_03285/APILKD_03385/APILKD_03315/APILKD_05475/APILKD_03375/APILKD_07240/APILKD_04020/APILKD_03395/APILKD_03335/APILKD_03370/APILKD_03915/APILKD_03320/APILKD_03710/APILKD_03260/APILKD_03300/APILKD_21180/APILKD_05235/APILKD_03305/APILKD_03310/APILKD_09540/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_20255/APILKD_03290"
"GO:0015934","GO:0015934","large ribosomal subunit",31,0.658214801071944,1.98294974190413,0.000357243759070607,0.0264085578820656,0.0242115810803318,1689,"tags=100%, list=35%, signal=66%","APILKD_19575/APILKD_04025/APILKD_03085/APILKD_03090/APILKD_03345/APILKD_17055/APILKD_17060/APILKD_00650/APILKD_03705/APILKD_24330/APILKD_03340/APILKD_24325/APILKD_24340/APILKD_03380/APILKD_03350/APILKD_24335/APILKD_03410/APILKD_03330/APILKD_05490/APILKD_03365/APILKD_03385/APILKD_03315/APILKD_04020/APILKD_03370/APILKD_03300/APILKD_21180/APILKD_03305/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_03290"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",31,0.658214801071944,1.98294974190413,0.000357243759070607,0.0264085578820656,0.0242115810803318,1689,"tags=100%, list=35%, signal=66%","APILKD_19575/APILKD_04025/APILKD_03085/APILKD_03090/APILKD_03345/APILKD_17055/APILKD_17060/APILKD_00650/APILKD_03705/APILKD_24330/APILKD_03340/APILKD_24325/APILKD_24340/APILKD_03380/APILKD_03350/APILKD_24335/APILKD_03410/APILKD_03330/APILKD_05490/APILKD_03365/APILKD_03385/APILKD_03315/APILKD_04020/APILKD_03370/APILKD_03300/APILKD_21180/APILKD_03305/APILKD_03325/APILKD_15320/APILKD_03295/APILKD_03290"
